Código Imóvel,Linha Digitável,Valor a Pagar
8301,'10492222585899910004100753664606810610000004812,"48,12"
30352,'10492222585899910004100753662584110610000177088,"770,88"
28696,'10492222585899910004100753643105110610000075488,"754,88"
31500,'10492222585899910004100753644418210610000015387,"153,87"
7368,'10492222585899910004100753664366410610000067392,"673,92"
30340,'10492222585899910004100753644848410610000119968,"199,68"
30375,'10492222585899910004100753663558410610000063128,"631,28"
22645,'10492222585899910004100753664283110610000005005,"50,05"
28630,'10492222585899910004100753664440810610000105707,"057,07"
30319,'10492222585899910004100753643956210610000013768,"137,68"
21374,'10492222585899910004100753663202110610000109384,"093,84"
20365,'10492222585899910004100753645068110610000008584,"85,84"
28637,'10492222585899910004100753643014810610000010688,"106,88"
29327,'10492222585899910004100753664796410610000064656,"646,56"
18251,'10492222585899910004100753643287110610000005155,"51,55"
25007,'10492222585899910004100753663806110610000090678,"906,78"
7436,'10492222585899910004100753663715410610000077224,"772,24"
28357,'10492222585899910004100753644681510610000010936,"109,36"
28621,'10492222585899910004100753642719210610000006549,"65,49"
31411,'10492222585899910004100753662824110610000020536,"205,36"
7044,'10492222585899910004100753644764110610000084176,"841,76"
21376,'10492222585899910004100753643790110610000082355,"823,55"
17545,'10492222585899910004100753664879710610000143984,"439,84"
31567,'10492222585899910004100753662741110610000006246,"62,46"
6733,'10492222585899910004100753642552310610000002148,"21,48"
28695,'10492222585899910004100753664523710610000061836,"618,36"
26591,'10492222585899910004100753663392210610000052376,"523,76"
28368,'10492222585899910004100753644509210610000135856,"358,56"
24873,'10492222585899910004100753663988410610000082792,"827,92"
18248,'10492222585899910004100753643444110610000044280,"442,80"
28700,'10492222585899910004100753643527110610000046720,"467,20"
6508,'10492222585899910004100753662907610610000080893,"808,93"
24620,'10492222585899910004100753642396310610000033560,"335,60"
29332,'10492222585899910004100753663046210610000136944,"369,44"
31408,'10492222585899910004100753644178910610000035144,"351,44"
6055,'10492222585899910004100753663129110610000004492,"44,92"
30337,'10492222585899910004100753663475610610000086136,"861,36"
28709,'10492222585899910004100753642982810610000081291,"812,91"
28698,'10492222585899910004100753642636910610000068880,"688,80"
31566,'10492222585899910004100753662667510610000010792,"107,92"
24583,'10492222585899910004100753642479410610000041488,"414,88"
24858,'10492222585899910004100753664010910610000004608,"46,08"
7074,'10492222585899910004100753664101810610000004608,"46,08"
21994,'10492222585899910004100753663632910610000011328,"113,28"
28624,'10492222585899910004100753643600210610000006414,"64,14"
31466,'10492222585899910004100753644251210610000085909,"859,09"
31468,'10492222585899910004100753644335110610000010251,"102,51"
25346,'10492222585899910004100753644921710610000057232,"572,32"
25195,'10492222585899910004100753644095810610000063136,"631,36"
28626,'10492222585899910004100753642800510610000101711,"017,11"
30353,'10492222585899910004100753643873110610000052376,"523,76"
